product_name,category,total_revenue,units_sold,avg_order_value,profit_margin,customer_acquisition_cost
Wireless Headphones Pro,Electronics,750000,2500,300,25.5,45
Smart Watch Series X,Wearables,920000,2300,400,30.2,52
Gaming Laptop Ultra,Computers,1200000,800,1500,22.8,180
Bluetooth Speaker Mini,Audio,280000,1400,200,20.1,35
Fitness Tracker Pro,Wearables,450000,1800,250,28.7,40
Tablet Pro Max,Electronics,800000,1000,800,24.3,85
Wireless Mouse Elite,Accessories,180000,1800,100,35.2,25
Mechanical Keyboard,Accessories,220000,1100,200,32.1,28
USB-C Hub Premium,Accessories,120000,800,150,40.5,20
Power Bank Max,Electronics,200000,1000,200,30.8,30
